📺央视频道,#genre#
CCTV1,http://39.134.61.219/PLTV/88888888/224/3221227117/index.m3u8
CCTV1,http://39.134.61.219/PLTV/88888888/224/3221227139/index.m3u8
CCTV2,http://39.134.61.219/PLTV/88888888/224/3221227119/index.m3u8
CCTV2,http://39.134.61.219/PLTV/88888888/224/3221227206/index.m3u8
CCTV3,http://39.134.61.219/PLTV/88888888/224/3221227121/index.m3u8
CCTV3,http://39.134.61.219/PLTV/88888888/224/3221227141/index.m3u8
CCTV4,http://39.134.61.219/PLTV/88888888/224/3221227123/index.m3u8
CCTV4,http://39.134.61.219/PLTV/88888888/224/3221227208/index.m3u8
CCTV5,http://39.134.61.219/PLTV/88888888/224/3221227125/index.m3u8
CCTV5,http://39.134.61.219/PLTV/88888888/224/3221227143/index.m3u8
CCTV5+,http://39.134.61.219/PLTV/88888888/224/3221227204/index.m3u8
CCTV5+,http://39.134.61.219/PLTV/88888888/224/3221227218/index.m3u8
CCTV6,http://39.134.61.219/PLTV/88888888/224/3221227192/index.m3u8
CCTV6,http://39.134.61.219/PLTV/88888888/224/3221227210/index.m3u8
CCTV7,http://39.134.61.219/PLTV/88888888/224/3221227127/index.m3u8
CCTV8,http://39.134.61.219/PLTV/88888888/224/3221227147/index.m3u8
CCTV8,http://39.134.61.219/PLTV/88888888/224/3221227194/index.m3u8
CCTV9,http://39.134.61.219/PLTV/88888888/224/3221227129/index.m3u8
CCTV9,http://39.134.61.219/PLTV/88888888/224/3221227149/index.m3u8
CCTV10,http://39.134.61.219/PLTV/88888888/224/3221227151/index.m3u8
CCTV10,http://39.134.61.219/PLTV/88888888/224/3221227196/index.m3u8
CCTV11,http://39.134.61.219/PLTV/88888888/224/3221227131/index.m3u8
CCTV11,http://39.134.61.219/PLTV/88888888/224/3221227153/index.m3u8
CCTV12,http://39.134.61.219/PLTV/88888888/224/3221227155/index.m3u8
CCTV12,http://39.134.61.219/PLTV/88888888/224/3221227198/index.m3u8
CCTV13,http://39.134.61.219/PLTV/88888888/224/3221227133/index.m3u8
CCTV13,http://39.134.61.219/PLTV/88888888/224/3221227157/index.m3u8
CCTV14,http://39.134.61.219/PLTV/88888888/224/3221227159/index.m3u8
CCTV14,http://39.134.61.219/PLTV/88888888/224/3221227200/index.m3u8
CCTV15,http://39.134.61.219/PLTV/88888888/224/3221227135/index.m3u8
CCTV15,http://39.134.61.219/PLTV/88888888/224/3221227212/index.m3u8
CCTV16,http://39.134.61.219/PLTV/88888888/224/3221227202/index.m3u8
CCTV16,http://39.134.61.219/PLTV/88888888/224/3221227214/index.m3u8
CCTV17,http://39.134.61.219/PLTV/88888888/224/3221227137/index.m3u8
CCTV17,http://39.134.61.219/PLTV/88888888/224/3221227216/index.m3u8

📡卫视频道,#genre#
辽宁卫视,http://39.134.61.219/PLTV/88888888/224/3221227175/index.m3u8
辽宁卫视,http://39.134.61.219/PLTV/88888888/224/3221227231/index.m3u8
浙江卫视,http://39.134.61.219/PLTV/88888888/224/3221227238/index.m3u8
浙江卫视,http://39.134.61.219/PLTV/88888888/224/3221227266/index.m3u8
江苏卫视,http://39.134.61.219/PLTV/88888888/224/3221227070/index.m3u8
江苏卫视,http://39.134.61.219/PLTV/88888888/224/3221227225/index.m3u8
湖南卫视,http://39.134.61.219/PLTV/88888888/224/3221227223/index.m3u8
湖南卫视,http://39.134.61.219/PLTV/88888888/224/3221227232/index.m3u8
北京卫视,http://39.134.61.219/PLTV/88888888/224/3221227062/index.m3u8
北京卫视,http://39.134.61.219/PLTV/88888888/224/3221227205/index.m3u8
东方卫视,http://39.134.61.219/PLTV/88888888/224/3221227066/index.m3u8
东方卫视,http://39.134.61.219/PLTV/88888888/224/3221227209/index.m3u8
广东卫视,http://39.134.61.219/PLTV/88888888/224/3221227213/index.m3u8
广东卫视,http://39.134.61.219/PLTV/88888888/224/3221227319/index.m3u8
山东卫视,http://39.134.61.219/PLTV/88888888/224/3221227177/index.m3u8
山东卫视,http://39.134.61.219/PLTV/88888888/224/3221227233/index.m3u8
四川卫视,http://39.134.61.219/PLTV/88888888/224/3221227236/index.m3u8
四川卫视,http://39.134.61.219/PLTV/88888888/224/3221227237/index.m3u8
深圳卫视,http://39.134.61.219/PLTV/88888888/224/3221227179/index.m3u8
深圳卫视,http://39.134.61.219/PLTV/88888888/224/3221227235/index.m3u8
天津卫视,http://39.134.61.219/PLTV/88888888/224/3221227256/index.m3u8
天津卫视,http://39.134.61.219/PLTV/88888888/224/3221227181/index.m3u8
湖北卫视,http://39.134.61.219/PLTV/88888888/224/3221227173/index.m3u8
湖北卫视,http://39.134.61.219/PLTV/88888888/224/3221227254/index.m3u8
黑龙江卫视,http://39.134.61.219/PLTV/88888888/224/3221227171/index.m3u8
黑龙江卫视,http://39.134.61.219/PLTV/88888888/224/3221227219/index.m3u8
安徽卫视,http://39.134.61.219/PLTV/88888888/224/3221227167/index.m3u8
安徽卫视,http://39.134.61.219/PLTV/88888888/224/3221227262/index.m3u8
重庆卫视,http://39.134.61.219/PLTV/88888888/224/3221227169/index.m3u8
重庆卫视,http://39.134.61.219/PLTV/88888888/224/3221227207/index.m3u8
东南卫视,http://39.134.61.219/PLTV/88888888/224/3221227163/index.m3u8
东南卫视,http://39.134.61.219/PLTV/88888888/224/3221227211/index.m3u8
河北卫视,http://39.134.61.219/PLTV/88888888/224/3221227217/index.m3u8
河北卫视,http://39.134.61.219/PLTV/88888888/224/3221227240/index.m3u8
广西卫视,http://39.134.61.219/PLTV/88888888/224/3221227165/index.m3u8
广西卫视,http://39.134.61.219/PLTV/88888888/224/3221227215/index.m3u8
贵州卫视,http://39.134.61.219/PLTV/88888888/224/3221227224/index.m3u8
海南卫视,http://39.134.61.219/PLTV/88888888/224/3221227189/index.m3u8
河南卫视,http://39.134.61.219/PLTV/88888888/224/3221227183/index.m3u8
河南卫视,http://39.134.61.219/PLTV/88888888/224/3221227252/index.m3u8
吉林卫视,http://39.134.61.219/PLTV/88888888/224/3221227229/index.m3u8
吉林卫视,http://39.134.61.219/PLTV/88888888/224/3221227242/index.m3u8
江西卫视,http://39.134.61.219/PLTV/88888888/224/3221227185/index.m3u8
江西卫视,http://39.134.61.219/PLTV/88888888/224/3221227227/index.m3u8
西藏卫视,http://39.134.61.219/PLTV/88888888/224/3221227241/index.m3u8
新疆卫视,http://39.134.61.219/PLTV/88888888/224/3221227248/index.m3u8
云南卫视,http://39.134.61.219/PLTV/88888888/224/3221227239/index.m3u8
山西卫视,http://120.48.231.201:58823/hls/39/index.m3u8
陕西卫视,http://39.134.61.219/PLTV/88888888/224/3221227199/index.m3u8
内蒙古卫视,http://222.71.55.147:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=0&authid=0
内蒙古卫视,http://39.134.61.219/PLTV/88888888/224/3221227191/index.m3u8
宁夏卫视,http://39.134.61.219/PLTV/88888888/224/3221227193/index.m3u8
宁夏卫视,http://101.wifi98.com:9004/rtp/232.0.0.61:1234
甘肃卫视,http://39.134.61.219/PLTV/88888888/224/3221227222/index.m3u8
青海卫视,http://39.134.61.219/PLTV/88888888/224/3221227197/index.m3u8
厦门卫视,http://39.134.61.219/PLTV/88888888/224/3221227246/index.m3u8
三沙卫视,http://39.134.61.219/PLTV/88888888/224/3221227258/index.m3u8
兵团卫视,http://39.134.61.219/PLTV/88888888/224/3221227220/index.m3u8
凤凰卫视,http://120.48.231.201:58823/hls/47/index.m3u8
凤凰资讯,http://120.48.231.201:58823/hls/48/index.m3u8
凤凰电影,http://120.48.231.201:58823/hls/50/index.m3u8
